machine_id,operator_id,window,anomaly_score,reason,habit_vs_bottleneck
DZR001,OP1001,2025-04-30 15:00:00,0.6522614440024893,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1001,2025-04-30 15:15:00,0.6527907286028373,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1001,2025-04-30 15:30:00,0.675957202992248,idle ratio 93% vs your usual 33%; 14 belt-unfastened minute(s) this window,unclassified
DZR001,OP1001,2025-04-30 17:45:00,0.6420515902129702,unusually low load-cycle throughput this window,unclassified
DZR001,OP1001,2025-05-15 11:30:00,0.634654352940136,idle ratio 80% vs your usual 33%; 12 belt-unfastened minute(s) this window,unclassified
DZR001,OP1001,2025-05-15 13:15:00,0.6330200954406999,11 belt-unfastened minute(s) this window,unclassified
DZR001,OP1002,2025-03-31 15:00:00,0.6098748951859941,mildly elevated vs baseline: 8 belt-unfastened minute(s) this window,unclassified
DZR001,OP1002,2025-05-13 08:00:00,0.654680514307606,15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1002,2025-05-13 08:15:00,0.6491428896328283,15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1002,2025-05-13 08:30:00,0.6499052187081802,15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1002,2025-05-13 08:45:00,0.6535867220455506,15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1002,2025-05-13 09:00:00,0.6380026448271592,11 belt-unfastened minute(s) this window,unclassified
DZR001,OP1002,2025-05-13 11:30:00,0.6384395657911736,11 belt-unfastened minute(s) this window,operator_habit
DZR001,OP1002,2025-05-13 11:45:00,0.6490338925788305,15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1002,2025-05-13 12:00:00,0.6404852096194721,15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1002,2025-05-13 13:45:00,0.6654591352681328,15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1003,2025-06-07 20:00:00,0.6156936969573987,idle ratio 83% vs your usual 28%; 5 belt-unfastened minute(s) this window,unclassified
DZR001,OP1004,2025-03-27 07:30:00,0.6032817842788893,idle ratio 100% vs your usual 14%,unclassified
DZR001,OP1005,2025-04-02 08:00:00,0.620970584579883,idle ratio 100% vs your usual 15%,unclassified
DZR001,OP1012,2025-03-26 07:15:00,0.6035620073171765,idle ratio 83% vs your usual 15%,unclassified
DZR001,OP1012,2025-05-05 08:00:00,0.6188070143000008,idle ratio 100% vs your usual 15%,unclassified
DZR001,OP1013,2025-03-20 09:15:00,0.6244414697725573,7 belt-unfastened minute(s) this window; high fuel per cycle vs your baseline,unclassified
DZR001,OP1013,2025-04-01 07:30:00,0.6344385546353397,idle ratio 100% vs your usual 13%,unclassified
DZR001,OP1013,2025-04-10 08:00:00,0.6212436585777789,idle ratio 100% vs your usual 13%,operator_habit
DZR001,OP1013,2025-04-10 12:15:00,0.6226412240229298,7 belt-unfastened minute(s) this window; high fuel per cycle vs your baseline,unclassified
DZR001,OP1013,2025-04-10 13:45:00,0.6337067125844944,7 belt-unfastened minute(s) this window; high fuel per cycle vs your baseline,unclassified
DZR001,OP1013,2025-04-17 07:45:00,0.6021801929593699,idle ratio 100% vs your usual 13%,unclassified
DZR001,OP1013,2025-06-13 07:45:00,0.6113570262024027,idle ratio 100% vs your usual 13%,unclassified
DZR001,OP1014,2025-04-13 19:45:00,0.6460063475159543,idle ratio 100% vs your usual 14%,unclassified
DZR001,OP1016,2025-04-19 09:15:00,0.6506819153449507,15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1016,2025-04-19 14:15:00,0.6413357715391759,13 belt-unfastened minute(s) this window,operator_habit
DZR001,OP1016,2025-04-19 14:30:00,0.6509020738215978,15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1016,2025-04-19 14:45:00,0.6473768232034893,12 belt-unfastened minute(s) this window,unclassified
DZR001,OP1016,2025-05-21 11:45:00,0.6501631621932785,15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1016,2025-05-21 12:00:00,0.6560107074668212,15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1016,2025-05-21 12:15:00,0.6368214298612418,12 belt-unfastened minute(s) this window,unclassified
DZR001,OP1016,2025-05-21 15:15:00,0.6240622560994737,unusually low load-cycle throughput this window,unclassified
DZR001,OP1016,2025-06-05 07:30:00,0.599010577662517,mildly elevated vs baseline: idle ratio 100% vs your usual 59%,unclassified
DZR001,OP1016,2025-06-05 08:30:00,0.6366551187278966,12 belt-unfastened minute(s) this window,operator_habit
DZR001,OP1016,2025-06-05 08:45:00,0.6591844244867672,15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1016,2025-06-05 09:00:00,0.6539286519448625,15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1016,2025-06-05 09:15:00,0.6478295547204325,15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1016,2025-06-05 11:00:00,0.6520039840696206,15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1016,2025-06-05 11:15:00,0.6494125284601306,15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1016,2025-06-05 11:30:00,0.6323104282862667,11 belt-unfastened minute(s) this window,unclassified
DZR001,OP1017,2025-04-08 08:15:00,0.6234178062577904,idle ratio 100% vs your usual 12%,operator_habit
DZR001,OP1017,2025-04-08 11:45:00,0.6391073814270235,8 belt-unfastened minute(s) this window,unclassified
DZR001,OP1017,2025-05-04 16:45:00,0.678819814490003,unusually low load-cycle throughput this window,unclassified
DZR001,OP1018,2025-03-22 08:15:00,0.6470809546786479,idle ratio 100% vs your usual 33%,unclassified
DZR001,OP1018,2025-03-22 09:45:00,0.632034001467554,11 belt-unfastened minute(s) this window,unclassified
DZR001,OP1018,2025-03-22 12:00:00,0.6013160336762027,high fuel per cycle vs your baseline,unclassified
DZR001,OP1018,2025-03-22 13:30:00,0.6492451409983575,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,site_bottleneck
DZR001,OP1018,2025-03-22 15:45:00,0.6771172262333136,unusually low load-cycle throughput this window,unclassified
DZR001,OP1018,2025-04-03 13:45:00,0.6349028433473687,11 belt-unfastened minute(s) this window; high fuel per cycle vs your baseline,unclassified
DZR001,OP1018,2025-05-18 08:15:00,0.6215662033645571,idle ratio 100% vs your usual 33%,unclassified
DZR001,OP1018,2025-05-18 14:45:00,0.6306540782178871,idle ratio 80% vs your usual 33%; 12 belt-unfastened minute(s) this window,unclassified
DZR001,OP1018,2025-05-18 15:45:00,0.6388464092826474,11 belt-unfastened minute(s) this window; high fuel per cycle vs your baseline,site_bottleneck
DZR001,OP1018,2025-05-18 18:30:00,0.6367202383650421,mildly elevated vs baseline: idle ratio 75% vs your usual 33%,operator_habit
DZR001,OP1018,2025-06-03 09:15:00,0.631882760397046,11 belt-unfastened minute(s) this window; high fuel per cycle vs your baseline,unclassified
DZR001,OP1018,2025-06-03 11:30:00,0.6189939530484215,9 belt-unfastened minute(s) this window,unclassified
DZR001,OP1018,2025-06-03 12:30:00,0.6546476607814915,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1018,2025-06-03 12:45:00,0.6636606079072309,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1018,2025-06-03 13:00:00,0.6617470429018947,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1018,2025-06-03 13:15:00,0.6504860041733277,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1018,2025-06-03 13:30:00,0.6505642904557429,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1018,2025-06-03 16:15:00,0.6333515372270403,idle ratio 100% vs your usual 33%,unclassified
DZR001,OP1019,2025-03-17 08:00:00,0.6114119439726691,idle ratio 100% vs your usual 15%,unclassified
DZR001,OP1020,2025-05-08 08:00:00,0.665381700187225,idle ratio 100% vs your usual 30%,unclassified
DZR001,OP1020,2025-06-02 07:45:00,0.6000246409459923,idle ratio 100% vs your usual 30%,unclassified
DZR001,OP1020,2025-06-02 11:30:00,0.5976613820388914,7 belt-unfastened minute(s) this window; high fuel per cycle vs your baseline,unclassified
DZR001,OP1021,2025-03-23 07:45:00,0.6468809010234056,idle ratio 100% vs your usual 34%,unclassified
DZR001,OP1021,2025-03-23 10:45:00,0.6486320757248019,idle ratio 100% vs your usual 34%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1021,2025-03-23 11:00:00,0.6532325473238118,idle ratio 100% vs your usual 34%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1021,2025-03-23 11:15:00,0.6565915664032735,idle ratio 100% vs your usual 34%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1021,2025-03-23 11:30:00,0.6530992550880746,idle ratio 100% vs your usual 34%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1021,2025-03-23 17:30:00,0.6177044533616466,unusually low load-cycle throughput this window,unclassified
DZR001,OP1021,2025-03-29 07:45:00,0.656424128067598,idle ratio 100% vs your usual 34%,unclassified
DZR001,OP1021,2025-03-30 14:30:00,0.6445881553094934,idle ratio 87% vs your usual 34%; 13 belt-unfastened minute(s) this window,unclassified
DZR001,OP1021,2025-04-04 08:00:00,0.6526559272426912,idle ratio 100% vs your usual 34%,unclassified
DZR001,OP1021,2025-04-04 11:15:00,0.6706309361080639,idle ratio 93% vs your usual 34%; 14 belt-unfastened minute(s) this window,site_bottleneck
DZR001,OP1021,2025-04-04 13:30:00,0.6496617166211498,12 belt-unfastened minute(s) this window,operator_habit
DZR001,OP1021,2025-05-20 09:15:00,0.6505642904557429,idle ratio 100% vs your usual 34%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1021,2025-05-20 13:30:00,0.6329524729040941,11 belt-unfastened minute(s) this window; high fuel per cycle vs your baseline,unclassified
DZR001,OP1021,2025-05-20 14:30:00,0.6326253592570514,11 belt-unfastened minute(s) this window,site_bottleneck
DZR001,OP1021,2025-05-20 14:45:00,0.6346651011582195,11 belt-unfastened minute(s) this window; high fuel per cycle vs your baseline,unclassified
DZR001,OP1023,2025-04-23 08:15:00,0.6511465041734359,idle ratio 100% vs your usual 28%; 15 belt-unfastened minute(s) this window,site_bottleneck
DZR001,OP1023,2025-05-29 09:45:00,0.6116263831975832,8 belt-unfastened minute(s) this window,unclassified
DZR001,OP1023,2025-05-29 15:45:00,0.6947673099084251,unusually low load-cycle throughput this window,unclassified
DZR001,OP1024,2025-05-28 07:45:00,0.63765441556253,idle ratio 100% vs your usual 12%; 5 belt-unfastened minute(s) this window,unclassified
DZR001,OP1025,2025-04-11 08:00:00,0.6448503786710683,mildly elevated vs baseline: idle ratio 100% vs your usual 62%,unclassified
DZR001,OP1025,2025-04-11 09:30:00,0.6601665942637434,15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1025,2025-04-11 09:45:00,0.6310599603789961,11 belt-unfastened minute(s) this window; high fuel per cycle vs your baseline,unclassified
DZR001,OP1025,2025-04-11 11:30:00,0.6447802606474892,15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1025,2025-04-11 13:45:00,0.6470524999790838,15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1025,2025-04-11 14:00:00,0.6489015906681964,13 belt-unfastened minute(s) this window,unclassified
DZR001,OP1025,2025-04-11 15:00:00,0.6591588508280725,15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1025,2025-04-11 15:15:00,0.614820164847468,11 belt-unfastened minute(s) this window,unclassified
DZR001,OP1025,2025-04-16 08:30:00,0.6414373160808079,mildly elevated vs baseline: idle ratio 100% vs your usual 62%,unclassified
DZR001,OP1025,2025-04-16 09:30:00,0.6520039840696206,15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1025,2025-04-16 11:15:00,0.6507601229545842,15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1025,2025-04-16 11:30:00,0.6712967159471546,14 belt-unfastened minute(s) this window,unclassified
DZR001,OP1025,2025-04-16 13:15:00,0.6601003191485996,13 belt-unfastened minute(s) this window,unclassified
DZR001,OP1025,2025-04-16 16:00:00,0.6567360094794396,15 belt-unfastened minute(s) this window,operator_habit
DZR001,OP1025,2025-04-16 16:15:00,0.6612994653381291,15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1025,2025-04-16 16:30:00,0.6528058821187637,15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1025,2025-04-16 16:45:00,0.651606438552764,10 belt-unfastened minute(s) this window,unclassified
DZR001,OP1025,2025-06-11 16:30:00,0.6670772874453788,unusually low load-cycle throughput this window,unclassified
DZR001,OP1026,2025-05-09 20:45:00,0.6016034788528077,9 belt-unfastened minute(s) this window,unclassified
DZR001,OP1027,2025-03-25 07:30:00,0.625902994072222,idle ratio 100% vs your usual 33%,unclassified
DZR001,OP1027,2025-05-26 10:00:00,0.6163245164696015,mildly elevated vs baseline: high fuel per cycle vs your baseline,unclassified
DZR001,OP1027,2025-05-26 11:15:00,0.6553601132772557,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,operator_habit
DZR001,OP1027,2025-05-26 14:30:00,0.647015428402318,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,operator_habit
DZR001,OP1027,2025-05-26 16:00:00,0.6546209192664035,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1027,2025-05-26 16:15:00,0.6552856178371219,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1027,2025-05-26 16:30:00,0.647015428402318,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1027,2025-05-26 16:45:00,0.6432459533935591,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1027,2025-05-26 17:00:00,0.5994541772624664,10 belt-unfastened minute(s) this window,unclassified
DZR001,OP1028,2025-04-15 16:30:00,0.6278812439636361,unusually low load-cycle throughput this window,unclassified
DZR001,OP1028,2025-04-22 14:00:00,0.6269788959387244,7 belt-unfastened minute(s) this window,unclassified
DZR001,OP1028,2025-06-14 14:30:00,0.6154914614879009,9 belt-unfastened minute(s) this window,unclassified
DZR001,OP1029,2025-05-16 08:45:00,0.6041682883213025,10 belt-unfastened minute(s) this window,operator_habit
DZR001,OP1029,2025-05-16 11:00:00,0.6673884312436519,idle ratio 93% vs your usual 31%; 14 belt-unfastened minute(s) this window,site_bottleneck
DZR001,OP1029,2025-05-16 12:00:00,0.6583247472861644,idle ratio 100% vs your usual 31%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1029,2025-05-16 12:15:00,0.6567172665350848,idle ratio 100% vs your usual 31%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1029,2025-05-16 12:30:00,0.6400520126557316,idle ratio 100% vs your usual 31%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1029,2025-05-16 12:45:00,0.6544806737136566,idle ratio 100% vs your usual 31%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1029,2025-05-16 13:00:00,0.6530267592403867,idle ratio 100% vs your usual 31%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1030,2025-05-24 16:00:00,0.6500544058488392,idle ratio 100% vs your usual 32%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1030,2025-05-24 16:15:00,0.6517201936979085,idle ratio 100% vs your usual 32%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1030,2025-05-24 16:30:00,0.6515540987884638,idle ratio 100% vs your usual 32%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1030,2025-05-24 16:45:00,0.6581482518714437,idle ratio 100% vs your usual 32%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1030,2025-05-24 17:45:00,0.655054679044902,idle ratio 100% vs your usual 32%,unclassified
DZR001,OP1032,2025-04-29 19:30:00,0.6411363757424848,idle ratio 100% vs your usual 15%; 3 belt-unfastened minute(s) this window,site_bottleneck
DZR001,OP1032,2025-05-22 20:00:00,0.6136173790400845,idle ratio 100% vs your usual 15%,unclassified
DZR001,OP1033,2025-04-14 14:00:00,0.6603899618851553,idle ratio 100% vs your usual 30%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1034,2025-05-30 07:45:00,0.6261487431721504,idle ratio 100% vs your usual 14%,unclassified
DZR001,OP1034,2025-05-31 07:45:00,0.6022484126082871,idle ratio 83% vs your usual 14%,unclassified
DZR001,OP1034,2025-06-08 08:15:00,0.612583709895021,idle ratio 100% vs your usual 14%,site_bottleneck
DZR001,OP1035,2025-04-21 08:45:00,0.6069721924674744,high fuel per cycle vs your baseline,unclassified
DZR001,OP1035,2025-04-21 10:00:00,0.6422041969842138,idle ratio 87% vs your usual 33%; 13 belt-unfastened minute(s) this window,operator_habit
DZR001,OP1035,2025-04-21 12:00:00,0.6203104905345582,mildly elevated vs baseline: 8 belt-unfastened minute(s) this window,unclassified
DZR001,OP1035,2025-04-21 14:15:00,0.6560390861784307,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1035,2025-06-09 08:00:00,0.6408379650843844,idle ratio 100% vs your usual 33%,unclassified
DZR001,OP1035,2025-06-09 12:00:00,0.6477095136174469,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1035,2025-06-09 13:15:00,0.6337160740320287,idle ratio 80% vs your usual 33%; 12 belt-unfastened minute(s) this window,operator_habit
DZR001,OP1035,2025-06-09 13:30:00,0.6500393162026491,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1035,2025-06-09 13:45:00,0.6523336067944286,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1035,2025-06-09 15:30:00,0.646722360425583,idle ratio 87% vs your usual 33%; 13 belt-unfastened minute(s) this window,operator_habit
DZR001,OP1037,2025-04-07 20:00:00,0.6052342510130305,idle ratio 100% vs your usual 14%,operator_habit
DZR001,OP1037,2025-04-08 05:00:00,0.6826671910052025,unusually low load-cycle throughput this window,unclassified
DZR001,OP1038,2025-06-12 08:15:00,0.6077599376076918,idle ratio 100% vs your usual 15%,unclassified
DZR001,OP1039,2025-03-28 08:30:00,0.5978763944928227,idle ratio 83% vs your usual 31%,unclassified
DZR001,OP1039,2025-03-28 18:00:00,0.6764303824506411,unusually low load-cycle throughput this window,unclassified
DZR001,OP1039,2025-04-27 08:00:00,0.6016606092813028,idle ratio 83% vs your usual 31%,unclassified
DZR001,OP1039,2025-04-27 11:15:00,0.6406030205036216,11 belt-unfastened minute(s) this window; high fuel per cycle vs your baseline,unclassified
DZR001,OP1039,2025-05-03 12:30:00,0.6042911312641761,10 belt-unfastened minute(s) this window,site_bottleneck
DZR001,OP1039,2025-05-06 08:00:00,0.6457878449499102,idle ratio 100% vs your usual 31%,unclassified
DZR001,OP1040,2025-06-06 16:45:00,0.6133067130542961,idle ratio 100% vs your usual 14%,site_bottleneck
DZR002,OP1001,2025-05-10 08:30:00,0.6344895213424021,high fuel per cycle vs your baseline,unclassified
DZR002,OP1001,2025-05-10 10:15:00,0.6294792234045439,high fuel per cycle vs your baseline,unclassified
DZR002,OP1001,2025-05-10 12:00:00,0.6365091922588013,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR002,OP1001,2025-05-10 12:15:00,0.6392694501955772,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR002,OP1001,2025-06-04 07:45:00,0.6546500194978658,idle ratio 100% vs your usual 33%,unclassified
DZR002,OP1001,2025-06-04 11:30:00,0.6460679685458025,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR002,OP1001,2025-06-04 11:45:00,0.6400917773825966,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR002,OP1001,2025-06-04 12:00:00,0.6470733212967135,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR002,OP1001,2025-06-04 12:15:00,0.6366176494975884,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR002,OP1001,2025-06-04 13:00:00,0.6413923288499711,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR002,OP1001,2025-06-04 13:45:00,0.6641408325842918,idle ratio 80% vs your usual 33%; 12 belt-unfastened minute(s) this window; high fuel per cycle vs your baseline,site_bottleneck
DZR002,OP1001,2025-06-04 16:00:00,0.6815219308352816,high fuel per cycle vs your baseline,unclassified
DZR002,OP1002,2025-04-14 16:15:00,0.6835366337636861,unusually low load-cycle throughput this window,unclassified
DZR002,OP1002,2025-04-20 08:15:00,0.641271829307607,15 belt-unfastened minute(s) this window,unclassified
DZR002,OP1002,2025-04-20 08:30:00,0.64051881189801,15 belt-unfastened minute(s) this window,unclassified
DZR002,OP1002,2025-04-20 09:00:00,0.6790225350509872,14 belt-unfastened minute(s) this window,site_bottleneck
DZR002,OP1002,2025-04-20 09:15:00,0.656195444346304,15 belt-unfastened minute(s) this window,unclassified
DZR002,OP1002,2025-04-20 13:15:00,0.6843814658667562,14 belt-unfastened minute(s) this window,operator_habit
DZR002,OP1002,2025-05-19 09:45:00,0.6382895877150224,15 belt-unfastened minute(s) this window,unclassified
DZR002,OP1002,2025-05-19 16:00:00,0.6291748855226239,mildly elevated vs baseline: idle ratio 100% vs your usual 61%,unclassified
DZR002,OP1003,2025-05-11 20:00:00,0.5996677086271253,idle ratio 100% vs your usual 28%,unclassified
DZR002,OP1003,2025-05-11 20:30:00,0.6091515881131047,idle ratio 73% vs your usual 28%; high fuel per cycle vs your baseline,site_bottleneck
DZR002,OP1003,2025-05-12 00:30:00,0.6051574883729277,idle ratio 73% vs your usual 28%; high fuel per cycle vs your baseline,unclassified
DZR002,OP1005,2025-04-22 15:00:00,0.6051245829431484,unusually low load-cycle throughput this window,unclassified
DZR002,OP1005,2025-04-27 08:15:00,0.6419633307997806,idle ratio 100% vs your usual 15%,site_bottleneck
DZR002,OP1006,2025-03-26 07:45:00,0.6138869537359946,idle ratio 100% vs your usual 15%,unclassified
DZR002,OP1006,2025-05-16 16:00:00,0.6644723417235561,unusually low load-cycle throughput this window,unclassified
DZR002,OP1007,2025-04-21 11:15:00,0.6166267073590899,high fuel per cycle vs your baseline,unclassified
DZR002,OP1008,2025-06-11 11:15:00,0.6581332186133605,11 belt-unfastened minute(s) this window; high fuel per cycle vs your baseline,unclassified
DZR002,OP1009,2025-04-15 08:30:00,0.6163921915953994,idle ratio 100% vs your usual 14%,unclassified
DZR002,OP1009,2025-06-12 16:30:00,0.6776725845214393,unusually low load-cycle throughput this window,unclassified
DZR002,OP1013,2025-03-20 07:45:00,0.643946348945321,idle ratio 100% vs your usual 13%; 5 belt-unfastened minute(s) this window,unclassified
DZR002,OP1013,2025-03-20 08:30:00,0.6361070210235177,8 belt-unfastened minute(s) this window; high fuel per cycle vs your baseline,unclassified
DZR002,OP1015,2025-03-31 07:00:00,0.6015614844728546,idle ratio 100% vs your usual 33%,unclassified
DZR002,OP1015,2025-03-31 12:00:00,0.6022031726870596,high fuel per cycle vs your baseline,operator_habit
DZR002,OP1016,2025-05-29 08:30:00,0.6503081545961048,15 belt-unfastened minute(s) this window,unclassified
DZR002,OP1016,2025-05-29 08:45:00,0.6405500038123866,15 belt-unfastened minute(s) this window,unclassified
DZR002,OP1016,2025-05-29 09:00:00,0.6604730097389461,15 belt-unfastened minute(s) this window,unclassified
DZR002,OP1016,2025-05-29 15:45:00,0.6818324770876818,14 belt-unfastened minute(s) this window,unclassified
DZR002,OP1017,2025-04-06 13:00:00,0.6611159090714335,7 belt-unfastened minute(s) this window; high fuel per cycle vs your baseline,unclassified
DZR002,OP1018,2025-06-01 11:15:00,0.6603707447761772,idle ratio 87% vs your usual 33%; 13 belt-unfastened minute(s) this window,operator_habit
DZR002,OP1018,2025-06-01 11:30:00,0.6367883710572781,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR002,OP1018,2025-06-01 11:45:00,0.6534657295561764,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR002,OP1018,2025-06-01 12:45:00,0.6014324934754256,idle ratio 80% vs your usual 33%; high fuel per cycle vs your baseline,site_bottleneck
DZR002,OP1018,2025-06-01 13:45:00,0.6855318777461036,idle ratio 80% vs your usual 33%; 12 belt-unfastened minute(s) this window; high fuel per cycle vs your baseline,operator_habit
DZR002,OP1020,2025-06-08 07:45:00,0.6460063475159543,idle ratio 100% vs your usual 30%,unclassified
DZR002,OP1020,2025-06-08 15:30:00,0.5995592437438506,mildly elevated vs baseline: 0 belt-unfastened minute(s) this window,unclassified
DZR002,OP1021,2025-03-24 09:15:00,0.6487244971935707,idle ratio 100% vs your usual 34%; 15 belt-unfastened minute(s) this window,unclassified
DZR002,OP1021,2025-04-23 09:45:00,0.6367883710572781,idle ratio 100% vs your usual 34%; 15 belt-unfastened minute(s) this window,unclassified
DZR002,OP1021,2025-04-23 11:15:00,0.6696483221631995,11 belt-unfastened minute(s) this window; high fuel per cycle vs your baseline,operator_habit
